metric,k,actual_user,actual_sample,predicted_user,is_correct,score,neighbor_count,neighbors_json,distances_by_user_json
chebyshev,9,Lukasz,5,Dominik,False,171.7,9,"[{""distance"": 135.09999999403954, ""sample"": 4, ""user"": ""Dominik""}, {""distance"": 173.7499999962747, ""sample"": 1, ""user"": ""Bartek""}, {""distance"": 180.50000004470348, ""sample"": 2, ""user"": ""Olo""}, {""distance"": 183.8999999910593, ""sample"": 2, ""user"": ""Dominik""}, {""distance"": 183.8999999910593, ""sample"": 3, ""user"": ""Dominik""}, {""distance"": 183.8999999910593, ""sample"": 5, ""user"": ""Dominik""}, {""distance"": 183.8999999910593, ""sample"": 1, ""user"": ""HETER""}, {""distance"": 183.8999999910593, ""sample"": 2, ""user"": ""HETER""}, {""distance"": 183.8999999910593, ""sample"": 5, ""user"": ""HETER""}]","{""Bartek"": 173.7499999962747, ""Dominik"": 171.69999999180436, ""HETER"": 183.8999999910593, ""Olo"": 180.50000004470348}"
chebyshev,9,Maja,1,HETER,False,96.633333,9,"[{""distance"": 68.10000003501773, ""sample"": 2, ""user"": ""HETER""}, {""distance"": 75.89999997615814, ""sample"": 1, ""user"": ""Olo""}, {""distance"": 81.79999995231628, ""sample"": 1, ""user"": ""Bartek""}, {""distance"": 86.97619047619047, ""sample"": 5, ""user"": ""Ulung""}, {""distance"": 103.5, ""sample"": 5, ""user"": ""HETER""}, {""distance"": 111.42499998025596, ""sample"": 5, ""user"": ""Marcin""}, {""distance"": 117.8999999910593, ""sample"": 4, ""user"": ""Majkel""}, {""distance"": 118.29999999888241, ""sample"": 4, ""user"": ""HETER""}, {""distance"": 119.70000000298023, ""sample"": 3, ""user"": ""Lukasz""}]","{""Bartek"": 81.79999995231628, ""HETER"": 96.63333334463339, ""Lukasz"": 119.70000000298023, ""Majkel"": 117.8999999910593, ""Marcin"": 111.42499998025596, ""Olo"": 75.89999997615814, ""Ulung"": 86.97619047619047}"
chebyshev,9,Maja,2,Majkel,False,120.7,9,"[{""distance"": 95.73333326975506, ""sample"": 3, ""user"": ""Dominik""}, {""distance"": 109.60000002384186, ""sample"": 1, ""user"": ""HETER""}, {""distance"": 109.60000002384186, ""sample"": 3, ""user"": ""HETER""}, {""distance"": 109.60000002384186, ""sample"": 3, ""user"": ""Maja""}, {""distance"": 109.60000002384186, ""sample"": 5, ""user"": ""Maja""}, {""distance"": 110.90000009536743, ""sample"": 2, ""user"": ""Olo""}, {""distance"": 114.8999999910593, ""sample"": 2, ""user"": ""Majkel""}, {""distance"": 117.79999999701977, ""sample"": 3, ""user"": ""Majkel""}, {""distance"": 129.40000000596046, ""sample"": 5, ""user"": ""Majkel""}]","{""Dominik"": 95.73333326975506, ""HETER"": 109.60000002384186, ""Maja"": 109.60000002384186, ""Majkel"": 120.69999999801318, ""Olo"": 110.90000009536743}"
chebyshev,9,Maja,3,Maja,True,95.55,9,"[{""distance"": 81.5, ""sample"": 5, ""user"": ""Maja""}, {""distance"": 81.5, ""sample"": 2, ""user"": ""Majkel""}, {""distance"": 87.39999999850988, ""sample"": 1, ""user"": ""HETER""}, {""distance"": 92.69999992847443, ""sample"": 2, ""user"": ""Olo""}, {""distance"": 104.46666663885117, ""sample"": 3, ""user"": ""Dominik""}, {""distance"": 109.60000002384186, ""sample"": 2, ""user"": ""Maja""}, {""distance"": 114.5, ""sample"": 5, ""user"": ""Majkel""}, {""distance"": 119.85000014305115, ""sample"": 2, ""user"": ""Dominik""}, {""distance"": 135.0499999532476, ""sample"": 3, ""user"": ""HETER""}]","{""Dominik"": 112.15833339095116, ""HETER"": 111.22499997587875, ""Maja"": 95.55000001192093, ""Majkel"": 98.0, ""Olo"": 92.69999992847443}"
chebyshev,9,Maja,4,Dominik,False,363.25,9,"[{""distance"": 363.24999994039536, ""sample"": 1, ""user"": """"}, {""distance"": 363.24999994039536, ""sample"": 1, ""user"": ""Bartek""}, {""distance"": 363.24999994039536, ""sample"": 1, ""user"": ""Dominik""}, {""distance"": 363.24999994039536, ""sample"": 2, ""user"": ""Dominik""}, {""distance"": 363.24999994039536, ""sample"": 3, ""user"": ""Dominik""}, {""distance"": 363.24999994039536, ""sample"": 4, ""user"": ""Dominik""}, {""distance"": 363.24999994039536, ""sample"": 5, ""user"": ""Dominik""}, {""distance"": 363.24999994039536, ""sample"": 2, ""user"": ""Emilia_A""}, {""distance"": 363.24999994039536, ""sample"": 4, ""user"": ""Emilia_A""}]","{"""": 363.24999994039536, ""Bartek"": 363.24999994039536, ""Dominik"": 363.24999994039536, ""Emilia_A"": 363.24999994039536}"
chebyshev,9,Maja,5,Maja,True,95.55,9,"[{""distance"": 81.5, ""sample"": 3, ""user"": ""Maja""}, {""distance"": 87.98333335667849, ""sample"": 1, ""user"": ""HETER""}, {""distance"": 98.35000014305115, ""sample"": 2, ""user"": ""Dominik""}, {""distance"": 107.19999992847443, ""sample"": 3, ""user"": ""Dominik""}, {""distance"": 107.19999992847443, ""sample"": 2, ""user"": ""Majkel""}, {""distance"": 107.19999992847443, ""sample"": 2, ""user"": ""Olo""}, {""distance"": 109.60000002384186, ""sample"": 2, ""user"": ""Maja""}, {""distance"": 129.40000000596046, ""sample"": 5, ""user"": ""Majkel""}, {""distance"": 142.0, ""sample"": 4, ""user"": ""Olo""}]","{""Dominik"": 102.77500003576279, ""HETER"": 87.98333335667849, ""Maja"": 95.55000001192093, ""Majkel"": 118.29999996721745, ""Olo"": 124.59999996423721}"
chebyshev,9,Majkel,1,Nick:),False,126.9,9,"[{""distance"": 105.35000002384186, ""sample"": 4, ""user"": ""Anita""}, {""distance"": 106.40000003576279, ""sample"": 1, ""user"": ""Anita""}, {""distance"": 116.70000000001164, ""sample"": 5, ""user"": ""Mateusz""}, {""distance"": 119.09999999997672, ""sample"": 3, ""user"": ""Mateusz""}, {""distance"": 123.5, ""sample"": 4, ""user"": ""Bartek""}, {""distance"": 125.0, ""sample"": 4, ""user"": ""Ulung""}, {""distance"": 126.59999999404681, ""sample"": 1, ""user"": ""Nick:)""}, {""distance"": 127.0, ""sample"": 5, ""user"": ""Nick:)""}, {""distance"": 127.09999999403954, ""sample"": 2, ""user"": ""Nick:)""}]","{""Anita"": 105.87500002980232, ""Bartek"": 123.5, ""Mateusz"": 117.89999999999418, ""Nick:)"": 126.89999999602878, ""Ulung"": 125.0}"
chebyshev,9,Majkel,2,Maja,False,101.2,9,"[{""distance"": 81.5, ""sample"": 3, ""user"": ""Maja""}, {""distance"": 82.80000019073486, ""sample"": 3, ""user"": ""Dominik""}, {""distance"": 98.35000014305115, ""sample"": 2, ""user"": ""Dominik""}, {""distance"": 107.19999992847443, ""sample"": 5, ""user"": ""Maja""}, {""distance"": 114.8999999910593, ""sample"": 2, ""user"": ""Maja""}, {""distance"": 117.73333333308499, ""sample"": 1, ""user"": ""HETER""}, {""distance"": 118.84999999403954, ""sample"": 2, ""user"": ""Olo""}, {""distance"": 129.40000000596046, ""sample"": 5, ""user"": ""Majkel""}, {""distance"": 142.0, ""sample"": 4, ""user"": ""Olo""}]","{""Dominik"": 90.575000166893, ""HETER"": 117.73333333308499, ""Maja"": 101.19999997317791, ""Majkel"": 129.40000000596046, ""Olo"": 130.42499999701977}"
chebyshev,9,Majkel,3,HETER,False,128.466667,9,"[{""distance"": 117.79999999701977, ""sample"": 2, ""user"": ""Maja""}, {""distance"": 119.33333333333333, ""sample"": 3, ""user"": ""HETER""}, {""distance"": 129.09999990463257, ""sample"": 2, ""user"": ""Olo""}, {""distance"": 129.40000000596046, ""sample"": 5, ""user"": ""Majkel""}, {""distance"": 137.59999999776483, ""sample"": 1, ""user"": ""HETER""}, {""distance"": 145.10000002384186, ""sample"": 5, ""user"": ""Olo""}, {""distance"": 149.20000000298023, ""sample"": 3, ""user"": ""Anita""}, {""distance"": 149.20000000298023, ""sample"": 5, ""user"": ""Anita""}, {""distance"": 149.20000000298023, ""sample"": 2, ""user"": ""Mateusz""}]","{""Anita"": 149.20000000298023, ""HETER"": 128.46666666554907, ""Maja"": 117.79999999701977, ""Majkel"": 129.40000000596046, ""Mateusz"": 149.20000000298023, ""Olo"": 137.0999999642372}"
chebyshev,9,Majkel,4,HETER,False,95.0,9,"[{""distance"": 72.09999999403954, ""sample"": 5, ""user"": ""HETER""}, {""distance"": 117.8999999910593, ""sample"": 2, ""user"": ""HETER""}, {""distance"": 117.8999999910593, ""sample"": 1, ""user"": ""Maja""}, {""distance"": 117.8999999910593, ""sample"": 5, ""user"": ""Marcin""}, {""distance"": 117.8999999910593, ""sample"": 1, ""user"": ""Olo""}, {""distance"": 127.19999980926514, ""sample"": 5, ""user"": ""Dominik""}, {""distance"": 137.0, ""sample"": 1, ""user"": ""Bartek""}, {""distance"": 145.5000000000291, ""sample"": 5, ""user"": ""Ulung""}, {""distance"": 147.1749999821186, ""sample"": 5, ""user"": ""Olo""}]","{""Bartek"": 137.0, ""Dominik"": 127.19999980926514, ""HETER"": 94.99999999254942, ""Maja"": 117.8999999910593, ""Marcin"": 117.8999999910593, ""Olo"": 132.53749998658895, ""Ulung"": 145.5000000000291}"
chebyshev,9,Majkel,5,Maja,False,124.433333,9,"[{""distance"": 114.5, ""sample"": 3, ""user"": ""Maja""}, {""distance"": 129.40000000596046, ""sample"": 1, ""user"": ""HETER""}, {""distance"": 129.40000000596046, ""sample"": 3, ""user"": ""HETER""}, {""distance"": 129.40000000596046, ""sample"": 2, ""user"": ""Maja""}, {""distance"": 129.40000000596046, ""sample"": 5, ""user"": ""Maja""}, {""distance"": 129.40000000596046, ""sample"": 2, ""user"": ""Majkel""}, {""distance"": 129.40000000596046, ""sample"": 3, ""user"": ""Majkel""}, {""distance"": 129.40000000596046, ""sample"": 2, ""user"": ""Olo""}, {""distance"": 133.7833332742254, ""sample"": 3, ""user"": ""Dominik""}]","{""Dominik"": 133.7833332742254, ""HETER"": 129.40000000596046, ""Maja"": 124.43333333730698, ""Majkel"": 129.40000000596046, ""Olo"": 129.40000000596046}"
chebyshev,9,Marcin,1,HETER,False,137.466667,9,"[{""distance"": 103.59999999962747, ""sample"": 4, ""user"": ""HETER""}, {""distance"": 107.89999961853027, ""sample"": 5, ""user"": ""Dominik""}, {""distance"": 136.0, ""sample"": 1, ""user"": ""Olo""}, {""distance"": 154.39999999850988, ""sample"": 3, ""user"": ""Dominik""}, {""distance"": 154.39999999850988, ""sample"": 2, ""user"": ""HETER""}, {""distance"": 154.39999999850988, ""sample"": 5, ""user"": ""HETER""}, {""distance"": 154.39999999850988, ""sample"": 1, ""user"": ""Lukasz""}, {""distance"": 154.39999999850988, ""sample"": 3, ""user"": ""Lukasz""}, {""distance"": 154.39999999850988, ""sample"": 1, ""user"": ""Maja""}]","{""Dominik"": 131.14999980852008, ""HETER"": 137.46666666554907, ""Lukasz"": 154.39999999850988, ""Maja"": 154.39999999850988, ""Olo"": 136.0}"
